Price,Close,High,Low,Open,Volume
Ticker,UNH,UNH,UNH,UNH,UNH
Date,,,,,
2018-08-28,242.6948699951172,243.26430483020556,241.62829681315813,242.72198462614276,2603900
2018-08-29,243.13780212402344,243.4270433042247,241.5560506232166,242.58646198384963,2880600
2018-08-30,242.58648681640625,244.19535311857751,242.33338007015283,243.55359401239485,2976300
2018-08-31,242.64967346191406,243.3275668571647,241.51083131470898,242.4869856671066,2961500
2018-09-04,242.6948699951172,243.5083365094357,240.9413836326599,242.2338936841311,2097300
2018-09-05,241.9085693359375,242.95702034663657,241.2668102931876,242.7401032524998,2230600
2018-09-06,244.54766845703125,244.88321989517974,242.08995621197835,242.6885186462275,2556100
2018-09-07,243.30511474609375,245.91701247112115,242.60680601574822,244.53852319474214,2958000
2018-09-10,235.5511016845703,241.9629168589678,234.66232234553303,241.944788672032,4146200
2018-09-11,236.73919677734375,237.08382613600014,233.5106075382894,233.90964914550977,2283300
2018-09-12,238.2174072265625,239.86795785635368,236.56682892015058,236.81168398364747,2236300
2018-09-13,240.7748565673828,240.95624913294492,238.89757912925145,239.5686818039158,2734500
2018-09-14,240.61166381835938,241.82691673508808,238.770642415734,240.69328218478614,2084600
2018-09-17,239.30569458007812,241.83597443410386,238.88852484992566,241.69086590261116,1940400
2018-09-18,238.7797393798828,239.50525447925116,237.60982068127137,238.45323821152817,3557000
2018-09-19,240.62979125976562,240.8837242911791,238.66181718546724,239.84986397636158,2274300
2018-09-20,241.5911407470703,242.996836525651,241.29184572542093,241.30997391472926,2095000
2018-09-21,241.84506225585938,242.90612865064435,241.10139138028234,241.32811828064433,5671600
2018-09-24,242.47079467773438,244.43879628273234,241.84505391680509,242.15339916947053,2699800
2018-09-25,238.97923278808594,242.4435988185499,238.5439071723927,242.41639269735805,3789700
2018-09-26,238.43507385253906,240.7748832182082,238.01790411751426,239.87705357552232,2238000
2018-09-27,240.0131072998047,240.70236597969418,238.45322501353533,238.51671519228842,2761400
2018-09-28,241.27366638183594,241.4096969643698,239.28753684698427,239.76819668968332,2875100
2018-10-01,244.0489044189453,244.8832441298906,242.16252061948236,242.3711193855341,3314500
2018-10-02,245.43638610839844,246.17097898409958,242.59776114782989,243.95812242529436,2777300
2018-10-03,245.68128967285156,246.7423838564497,244.65647954660224,246.67889367524586,3002200
